,Name,Price,Price per,Unit,Packet Size,Supermarket,Category
105,Weight Watchers Ravioli in würziger Tomatensauce,"1,79 €","4,48 €",Preis pro 1 Liter,(Dose 400 ML),edeka,Konserven
106,Appel Sardinen Madeleine rot,"1,79 €","1,70 €",Preis pro 100 Gramm,(Dose 105 Gramm),edeka,Konserven
107,Maggi Spaghetti Bolognese,"0,99 €","1,22 €",Preis pro 1 KG,(Dose 810  Gramm),edeka,Konserven
108,Maggi Ravioli Gemüse,"0,99 €","1,24 €",Preis pro 1 KG,(Dose 800  Gramm),edeka,Konserven
109,Maggi Ravioli Diavolo,"1,49 €","1,86 €",Preis pro 1 KG,(Dose 800  Gramm),edeka,Konserven
110,Landkost Mirabellen,"0,66 €","0,97 €",Preis pro 1 KG,(Glas 680 Gramm),edeka,Konserven
111,Kühne Dillschnitten,"0,99 €","1,38 €",Preis pro 1 Liter,(Glas 720 ML),edeka,Konserven
112,Jola Bauern Topf,"0,79 €","1,10 €",Preis pro 1 Liter,(Glas 720 ML),edeka,Konserven
113,Sonnen Bassermann Mein Möhrentopf mit Fleischklösschen,"1,29 €","1,61 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
114,Kühne Rotkohl Das Original,"1,98 €","2,48 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
115,Sonnen Bassermann Hühner Nudeltopf mit buntem Gemüse,"2,49 €","4,29 €",Preis pro 1 Liter,(Glas 580 ML),edeka,Konserven
116,Natreen Fruchtcocktail Obst im Glas,"1,69 €","4,57 €",Preis pro 1 Liter,(Glas 370 ML),edeka,Konserven
117,Sonnen-Bassermann Mein Frühlingstopf mit Fleischklößchen,"1,89 €","2,36 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
118,Saupiquet Thunfisch Salat Snack Western,"1,69 €","1,06 €",Preis pro 100 Gramm,(Dose 160  Gramm),edeka,Konserven
119,"Saupiquet Thunfisch für Pasta Oliven,Kapern & Tomaten","1,99 €","1,24 €",Preis pro 100 Gramm,(Dose 160  Gramm),edeka,Konserven
120,La Perla Tunfischstücke in Öl,"0,75 €","0,41 €",Preis pro 100 Gramm,(Dose 185 Gramm),edeka,Konserven
121,Hawesta zart geräucherte Makrelenfilets,"1,99 €","1,05 €",Preis pro 100 Gramm,(Dose 190 Gramm),edeka,Konserven
122,Hawesta extra zarte Heringsfilets in Balkan-Sauce,"1,29 €","0,65 €",Preis pro 100 Gramm,(Dose 200 Gramm),edeka,Konserven
123,Hawesta Heringsröllchen curry-exotisch,"1,39 €","0,70 €",Preis pro 100 Gramm,(Dose 200 Gramm),edeka,Konserven
124,Hawesta Heringsröllchen fruchtig-tomatig,"1,39 €","0,70 €",Preis pro 100 Gramm,(Dose 200 Gramm),edeka,Konserven
125,La Comtess Wild Lachs Stücke Alaska Lachs,"3,49 €","1,64 €",Preis pro 100 Gramm,(Packung 213 Gramm),edeka,Konserven
126,La Comtess Dorschleber geräuchert,"2,39 €","1,99 €",Preis pro 100 Gramm,(Packung 120 Gramm),edeka,Konserven
127,Rügen Fisch Bücklingsfilets in feinem Pflanzenöl und eigenem Saft,"1,19 €","0,63 €",Preis pro 100 Gramm,(Dose 190 Gramm),edeka,Konserven
128,Rügen Fisch Schillerlocken gerauchert,"2,59 €","2,35 €",Preis pro 100 Gramm,(Dose 110 Gramm),edeka,Konserven
129,Rügen Fisch Garnelen in Knoblauchöl mit Krautern,"1,99 €","1,99 €",Preis pro 100 Gramm,(Dose 100 Gramm),edeka,Konserven
130,Appel Bratheringsfilets,"1,99 €","6,12 €",Preis pro 1 KG,(Dose 325 Gramm),edeka,Konserven
131,Appel Hering zarte Filets in Dill-Kräuter-Creme,"1,19 €","0,60 €",Preis pro 100 Gramm,(Dose 200 Gramm),edeka,Konserven
132,Appel Fisch Minis Heringsfilet-Stücke in tomatiger Ketchup-Sauce,"0,89 €","0,89 €",Preis pro 100 Gramm,(Dose 100 Gramm),edeka,Konserven
133,Larsen Kieler Sprotten in Öl,"1,29 €","1,17 €",Preis pro 100 Gramm,(Dose 110 Gramm),edeka,Konserven
134,Maggi Ein Teller Linsentopf mit Speck,"1,09 €","3,30 €",Preis pro 1 KG,(Dose 330 Gramm),edeka,Konserven
135,Maggi Ein Teller Reistopf mit Huhn,"1,09 €","3,35 €",Preis pro 1 KG,(Dose 325 Gramm),edeka,Konserven
136,Ibero Gebackene Bohnen in Tomatensauce. Tafelfertig,"1,19 €","2,80 €",Preis pro 1 KG,(Dose 425 Gramm),edeka,Konserven
137,Natreen Mirabellen Obst im Glas,"1,49 €","4,03 €",Preis pro 1 Liter,(Glas 370 ML),edeka,Konserven
138,Natreen Apfelkompott mit Stücken,"1,49 €","0,40 €",Preis pro 100 ml,(Glas 370 ML),edeka,Konserven
139,Natreen Erdbeeren,"1,49 €","4,03 €",Preis pro 1 Liter,(Glas 370 ML),edeka,Konserven
140,Ibero Artischockenherzen geviertelt,"2,59 €","0,66 €",Preis pro 100 Gramm,(Dose 390 Gramm),edeka,Konserven
141,Kühne Moskauer Gurken,"1,59 €","2,21 €",Preis pro 1 Liter,(Glas 720 ML),edeka,Konserven
142,Kühne Gurken leicht,"1,49 €","2,07 €",Preis pro 1 Liter,(Glas 720 ML),edeka,Konserven
143,Kühne Senfgurken,"1,69 €","4,57 €",Preis pro 1 Liter,(Glas 370  ML),edeka,Konserven
144,Kühne Schlesische Gurkenhappen,"1,49 €","2,07 €",Preis pro 1 Liter,(Glas 720 ML),edeka,Konserven
145,Kühne Salz-Dillgurken,"1,99 €","2,76 €",Preis pro 1 Liter,(Glas 720  ML),edeka,Konserven
146,Kühne Cocktail Cornichons,"1,39 €","0,66 €",Preis pro 100 ml,(Glas 212 ML),edeka,Konserven
147,Kühne Bärlauchgurken,"1,49 €","2,07 €",Preis pro 1 Liter,(Glas 720 ML),edeka,Konserven
148,Kühne Schlemmertöpfchen Rote Bete Kugeln,"1,99 €","0,34 €",Preis pro 100 ml,(Glas 580 ML),edeka,Konserven
149,Kühne Original Fasskraut mit Speck und Zwiebeln,"1,29 €","3,04 €",Preis pro 1 Liter,(Glas 425 ML),edeka,Konserven
150,Kühne Original Fasskraut nach traditioneller Art,"0,99 €","2,33 €",Preis pro 1 Liter,(Glas 425 ML),edeka,Konserven
151,Gut & Günstig Gewürzgurken Auslese,"0,59 €","0,88 €",Preis pro 1 KG,(Glas 670 Gramm),edeka,Konserven
152,"Gut & Günstig Gurkensticks süß, pikant","0,75 €","1,04 €",Preis pro 1 Liter,(Glas 720 ML),edeka,Konserven
153,Appel Heringsfilets Tomate Burgunder Art,"1,59 €","0,80 €",Preis pro 100 Gramm,(Dose 200 Gramm),edeka,Konserven
154,Appel Heringsfilets in Gewürz-Ketchup,"1,59 €","0,80 €",Preis pro 100 Gramm,(Dose 200 Gramm),edeka,Konserven
155,"Zimmermann Leberknödel Original Bayrische,  6 x 67 g","2,49 €","0,62 €",Preis pro 100 Gramm,(Packung 400 Gramm),edeka,Konserven
156,Erasco Chili con Carne mit Bohnen und Paprika,"2,59 €","3,24 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
157,Edeka Antipasti Grüne Peperoni gefüllt mit Frischkäse,"2,49 €","1,66 €",Preis pro 100 Gramm,(Packung 150 Gramm),edeka,Konserven
158,Gut & Günstig Champignons 1. Wahl - ganze Köpfe,"0,99 €","2,48 €",Preis pro 1 Liter,(Dose 400 ML),edeka,Konserven
159,Gut & Günstig italienische passierte Tomaten,"0,35 €","0,70 €",Preis pro 1 KG,(Packung 500 Gramm),edeka,Konserven
160,gut & günstig mildes Weinsauerkraut,"0,39 €","0,75 €",Preis pro 1 KG,(Beutel 520 Gramm),edeka,Konserven
161,Oro Di Parma Tomaten stückig mit Kräutern,"1,09 €","2,56 €",Preis pro 1 Liter,(Dose 425 ML),edeka,Konserven
162,Hawesta zarte Bratheringe nach Hausfrauenart in würziger Marinade,"1,59 €","8,83 €",Preis pro 1 KG,(Dose 180 Gramm),edeka,Konserven
163,Homann Brathering mit Meersalz,"2,19 €","14,60 €",Preis pro 1 KG,(Glas 150 Gramm),edeka,Konserven
164,Gut & Günstig Ananas Stücke leicht gezuckert,"1,19 €","0,18 €",Preis pro 100 Gramm,(Glas 660 Gramm),edeka,Konserven
165,Gut & Günstig Rote Bete in Scheiben,"1,09 €","2,56 €",Preis pro 1 Liter,(Dose 425 ML),edeka,Konserven
166,Unsere Heimat Schinkenwurst,"1,09 €","2,56 €",Preis pro 1 Liter,(Dose 425 ML),edeka,Konserven
167,Unsere Heimat Lyoner,"1,19 €","1,40 €",Preis pro 1 Liter,(Dose 850 ML),edeka,Konserven
168,Edeka Gemüse Küche Junge Erbsen mit Pariser Karotten sehr fein,"1,79 €","1,86 €",Preis pro 1 KG,(Packung 960 Gramm),edeka,Konserven
169,Oro Di Parma Tomaten stückig scharf,"1,33 €","1,66 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
170,"Oro Di Parma Tomaten passiert, mit Kräutern","1,19 €","0,56 €",Preis pro 100 ml,(Glas 212 ML),edeka,Konserven
171,"Hengstenberg Rotkohl traditionell, 6 Portionen","1,78 €","1,11 €",Preis pro 100 Gramm,(Dose 160.00 Gramm),edeka,Konserven
172,"Odenwald Schattenmorellen entsteint, gezuckert","1,99 €","2,76 €",Preis pro 1 Liter,(Glas 720 ML),edeka,Konserven
173,Kühne Paprika in Streifen,"1,49 €","4,03 €",Preis pro 1 Liter,(Glas 370 ML),edeka,Konserven
174,Knorr Tomato al Gusto Passierte Tomaten 100% Tomate,"0,89 €","1,78 €",Preis pro 1 KG,(Packung 500 Gramm),edeka,Konserven
175,Erasco 1 Portion Kartoffel-Topf mit leckeren Würstchen,"1,29 €","3,23 €",Preis pro 1 KG,(Dose 400 Gramm),edeka,Konserven
176,Erasco Weite Welt Chinesischer Gemüsetopf mit Glasnudeln,"1,89 €","2,36 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
177,Saupiquet Thunfisch Brotaufstrich Pate Zitrone und Basilikum,"1,69 €","1,47 €",Preis pro 100 Gramm,(Dose 115  Gramm),edeka,Konserven
178,Saupiquet Thunfisch in Olivenöl,"1,89 €","1,02 €",Preis pro 100 Gramm,(Dose 185  Gramm),edeka,Konserven
179,Saupiquet Thunfisch Brotaufstrich Mediterrane  Kräuter,"1,99 €","1,59 €",Preis pro 100 Gramm,(Glas 125 Gramm),edeka,Konserven
180,Saupiquet Thunfisch Gourmet Filets Naturale ohne Öl,"3,99 €","2,22 €",Preis pro 100 Gramm,(Glas 180 Gramm),edeka,Konserven
181,Saupiquet Thunfisch für Pasta Tomate,"1,89 €","1,18 €",Preis pro 100 Gramm,(Dose 160  Gramm),edeka,Konserven
182,Meica Ragout Fin Kalb- und Geflügelfleisch,"2,49 €","6,23 €",Preis pro 1 KG,(Dose 400  Gramm),edeka,Konserven
183,Zimmermann Biolance Bio Schinkenwurst,"2,49 €","1,25 €",Preis pro 100 Gramm,(Dose 200 Gramm),edeka,Konserven
184,Hawesta extra zarte Heringsfilets in Senf-Creme,"1,29 €","0,65 €",Preis pro 100 Gramm,(Dose 200 Gramm),edeka,Konserven
185,Hawesta zarte Makrelenfilets in Tomaten-Sauce,"1,79 €","0,90 €",Preis pro 100 Gramm,(Dose 200 Gramm),edeka,Konserven
186,Dietz Wurstkonserven Feine Sorte Spanferkelsülze,"1,99 €","1,00 €",Preis pro 100 Gramm,(Dose 200 Gramm),edeka,Konserven
187,Dietz Wurstkonserven Hausmacher Art Hackbraten,"1,99 €","1,00 €",Preis pro 100 Gramm,(Dose 200 Gramm),edeka,Konserven
188,Rügen Fisch Bratmakrele in würziger Marinade,"1,49 €","0,30 €",Preis pro 100 Gramm,(Dose 500 Gramm),edeka,Konserven
189,Maggi Penne Tomate-Mozzarella,"1,39 €","1,72 €",Preis pro 1 KG,(Dose 810  Gramm),edeka,Konserven
190,Dietz Wurst Schwäbische Kutteln,"2,49 €","8,30 €",Preis pro 1 KG,(Dose 300 Gramm),edeka,Konserven
191,Erasco 1 Portion Gemüse-Eintopf mit viel frischem Gemüse,"1,29 €","3,23 €",Preis pro 1 KG,(Dose 400  Gramm),edeka,Konserven
192,Erasco Hühner-Reistopf mit frischen Möhren,"2,19 €","2,74 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
193,Erasco Gemüsegarten 7-Gemüse-Nudeltopf reich an wertvollem Gemüse,"2,19 €","2,74 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
194,Erasco Graupen-Topf mit frischen Möhren,"2,19 €","2,74 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
195,Erasco 2 Kohlrouladen in herzhafter Sauce,"2,59 €","3,24 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
196,Erasco Hackbällchen schwedische Art Köttbullar in cremiger Sauce,"2,59 €","3,24 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
197,Erasco Rindfleisch-Nudeltopf mit zarten Erbsen,"2,19 €","2,74 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
198,Erasco Erbsen-Eintopf Hubertus mit frischen Möhren & frischen Kartoffeln,"2,19 €","2,74 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
199,Erasco Frischgemüse-Topf mit Fleischklößchen,"1,89 €","2,36 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
200,Erasco Erbsen Eintopf mit Würstchen,"2,19 €","2,74 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
201,Erasco Kartoffeltopf mit Waldpilzen,"2,19 €","2,74 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
202,Erasco Zwiebel-Sahne-Hähnchen-Topf mit Nudeln,"2,99 €","3,74 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
203,Erasco Geschnetzeltes Zürcher Art mit Spätzle,"2,99 €","3,74 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
204,Kühne Grünkohl nach Oldenburger Art,"1,79 €","0,00 €",Preis pro 1 KG,(Glas 720 ML),edeka,Konserven
205,Bonduelle Erbsen mit Möhrchen Sehr Fein,"0,65 €","3,07 €",Preis pro 1 Liter,(Dose 212 ML),edeka,Konserven
206,Bonduelle Goldmais Florida Mix,"0,89 €","2,09 €",Preis pro 1 Liter,(Dose 425 ML),edeka,Konserven
207,Ibero Rote Kidney-Bohnen naturell,"1,99 €","2,49 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
208,Kühne Karotten Salat,"1,29 €","0,35 €",Preis pro 100 ml,(Glas 370  ML),edeka,Konserven
209,Kühne Sellerie Salat leicht,"1,39 €","0,38 €",Preis pro 100 ml,(Glas 370 ML),edeka,Konserven
210,Kühne Rote Bete in Scheiben,"1,19 €","3,22 €",Preis pro 1 Liter,(Glas 370 ML),edeka,Konserven
211,Kühne Apfelrotkohl Der Klassiker,"1,09 €","1,51 €",Preis pro 1 Liter,(Glas 720 ML),edeka,Konserven
212,Dittmann Spanische Artischockenherzen,"2,39 €","0,00 €",Preis pro 100 Gramm,(Dose 425 ML),edeka,Konserven
213,Kühne Schlemmertöpfchen Feine Gürkchen,"2,49 €","4,29 €",Preis pro 1 Liter,(Glas 580 ML),edeka,Konserven
214,Schwartau Spezialitäten Wild Preiselbeeren,"2,29 €","0,69 €",Preis pro 100 Gramm,(Dose (Weißblech) 330 Gramm),edeka,Konserven
215,Maggi Ein Teller Nudeltopf mit Fleischklößchen,"1,09 €","3,35 €",Preis pro 1 KG,(Dose 325 Gramm),edeka,Konserven
216,Libbys Fruchtcocktail Natursüß,"0,99 €","4,19 €",Preis pro 1 Liter,(Dose 236 ML),edeka,Konserven
217,Libbys Ananas Dessert Stücke,"0,99 €","4,19 €",Preis pro 1 Liter,(Dose 236 ML),edeka,Konserven
218,Libbys Fruchtcocktail,"1,99 €","2,34 €",Preis pro 1 Liter,(Dose 850 ML),edeka,Konserven
219,Libbys Pfirsiche Halbe Frucht,"1,59 €","1,93 €",Preis pro 1 KG,(Dose 825 Gramm),edeka,Konserven
220,Libbys Aprikosen Halbe Frucht,"1,59 €","3,74 €",Preis pro 1 Liter,(Dose 425 ML),edeka,Konserven
221,"Libbys Ananas in Scheiben, 8 Stück","1,69 €","1,99 €",Preis pro 1 Liter,(Dose 850 ML),edeka,Konserven
222,Libbys Tortenpfirsiche in Schnitten,"1,99 €","2,34 €",Preis pro 1 Liter,(Dose 850 ML),edeka,Konserven
223,Libbys Natursüß Williams Christ Birnen Halbe Frucht,"1,29 €","3,04 €",Preis pro 1 Liter,(Dose 425 ML),edeka,Konserven
224,Libbys Natursüß Aprikosen Halbe Frucht,"1,59 €","3,74 €",Preis pro 1 Liter,(Dose 425 ML),edeka,Konserven
225,Libbys Stangenspargel,"3,99 €","0,69 €",Preis pro 100 ml,(Glas 580 ML),edeka,Konserven
226,Delta Weisse Bohnen mit Suppengrün,"0,68 €","0,85 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
227,Halberstäder Schmalzfleisch,"0,79 €","0,99 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
228,Gut & Günstig Tomaten geschält in Tomatensaft,"0,79 €","1,98 €",Preis pro 1 KG,(Dose 400 Gramm),edeka,Konserven
229,Edeka Bancetto Tomaten in Stücken,"0,89 €","1,33 €",Preis pro 1 KG,(Glas 670 Gramm),edeka,Konserven
230,Gut & Günstig Cornichons würzig pikant,"3,29 €","0,97 €",Preis pro 100 Gramm,(Glas 340 Gramm),edeka,Konserven
231,Rügen Fisch Heringsfilets in Paprika-Creme,"0,89 €","0,45 €",Preis pro 100 Gramm,(Dose 200 Gramm),edeka,Konserven
232,Gut & günstig 5 Fruchtcocktail,"1,59 €","3,31 €",Preis pro 1 KG,(Packung 480 Gramm),edeka,Konserven
233,Gut & günstig Fruchtmix exotisch gezuckert,"1,59 €","3,31 €",Preis pro 1 KG,(Packung 480 Gramm),edeka,Konserven
234,Edeka Gemüse Küche Stangenspargel,"1,99 €","3,75 €",Preis pro 1 KG,(Glas 530 Gramm),edeka,Konserven
235,Rio Grande Mandarin Orangen leicht gezuckert,"0,79 €","0,25 €",Preis pro 100 Gramm,(Dose 312 Gramm),edeka,Konserven
236,Edeka Gemüse Küche Stangenspargel geschält weiß,"1,79 €","0,54 €",Preis pro 100 Gramm,(Glas 330 Gramm),edeka,Konserven
237,"Rio Grande Aprikosen Halbe Frucht, gezuckert","1,09 €","2,60 €",Preis pro 1 KG,(Dose 420 Gramm),edeka,Konserven
238,Gut & Günstig Junge Erbsen sehr fein,"0,49 €","1,23 €",Preis pro 1 KG,(Dose 400 Gramm),edeka,Konserven
239,EDEKA Aprikosen halbe Frucht in Birnensaft,"0,94 €","2,29 €",Preis pro 1 KG,(Dose 410 Gramm),edeka,Konserven
240,gut & günstig Sauerkirschen entsteint,"1,29 €","1,90 €",Preis pro 1 KG,(Glas 680 Gramm),edeka,Konserven
241,Rio Grande Waldheidelbeeren gezuckert,"1,99 €","0,66 €",Preis pro 100 Gramm,(Glas 300 Gramm),edeka,Konserven
242,Gut & Günstig Heringsfilets in Senfcreme,"0,77 €","0,95 €",Preis pro 1 KG,(Dose 810 Gramm),edeka,Konserven
243,Mehlig & Heller Omas Roter,"2,55 €","0,85 €",Preis pro 100 Gramm,(Glas 300 Gramm),edeka,Konserven
244,Specht Weinsauerkraut mit Weißwein verfeinert,"2,49 €","1,31 €",Preis pro 100 Gramm,(Glas 190 Gramm),edeka,Konserven
245,Rügen Fisch Makrelenfilet in pikanter Tomatensauce,"1,29 €","0,70 €",Preis pro 100 Gramm,(Dose 185 Gramm),edeka,Konserven
246,"Die Thüringer Eisbeinfleisch zerkleinert im Aspik, gewürzt","2,49 €","9,96 €",Preis pro 1 KG,(Glas 250 Gramm),edeka,Konserven
247,Lien Ying Thai Chili-Knoblauch,"2,49 €","0,42 €",Preis pro Stück,(Glas 6 Stück),edeka,Konserven
248,"Saupiquet Thunfisch-Stücke naturale, ohne Öl","1,99 €","1,00 €",Preis pro 100 Gramm,(Dose 200 Gramm),edeka,Konserven
249,Böklunder Wiener-Würstchen 6 Stück,"1,15 €","0,58 €",Preis pro 100 Gramm,(Dose 200 Gramm),edeka,Konserven
250,Meica Truemans Würstchen Chicken,"1,69 €","1,35 €",Preis pro 100 Gramm,(Dose 125 Gramm),edeka,Konserven
251,Appel Lachs-Lunch Mexican Chili,"1,69 €","1,54 €",Preis pro 100 Gramm,(Dose 110 Gramm),edeka,Konserven
252,Appel Wellness Heringfilets Balance,"1,19 €","2,05 €",Preis pro 1 Liter,(Dose 580  ML),edeka,Konserven
253,Bonne Maman Kompott Aprikosen,"2,99 €","0,50 €",Preis pro 100 Gramm,(Glas 600  Gramm),edeka,Konserven
254,Bonne Maman Kompott Rhabarber,"2,99 €","0,50 €",Preis pro 100 Gramm,(Glas 600  Gramm),edeka,Konserven
255,Gold Berry Ananasstücke,"0,59 €","1,02 €",Preis pro 1 Liter,(Dose 580  ML),edeka,Konserven
256,Stollenwerk Bohnen Junge große Bohnen,"0,99 €","1,38 €",Preis pro 1 Liter,(Glas 720 ML),edeka,Konserven
257,Ibero Schwarze Oliven entsteint,"0,99 €","0,66 €",Preis pro 100 Gramm,(Glas 150 Gramm),edeka,Konserven
258,Ibero Grüne Oliven mit Paprikapaste / Mandeln,"2,19 €","1,46 €",Preis pro 100 Gramm,(Glas 150 Gramm),edeka,Konserven
259,Ibero Grüne Oliven mit Paprikapaste,"3,99 €","0,42 €",Preis pro 100 Gramm,(Glas 950 Gramm),edeka,Konserven
260,Ibero Schwarze Oliven entsteint geschwärzt,"2,49 €","0,75 €",Preis pro 100 Gramm,(Glas 330 Gramm),edeka,Konserven
261,Ibero Schwarze Gewürzoliven entsteint,"2,49 €","1,46 €",Preis pro 100 Gramm,(Glas 170 Gramm),edeka,Konserven
262,Kattus Weisse Riesenbohnen in Tomatensauce,"2,39 €","5,98 €",Preis pro 1 KG,(Dose 400 Gramm),edeka,Konserven
263,Kattus Kichererbsen,"1,49 €","3,51 €",Preis pro 1 Liter,(Dose 425 ML),edeka,Konserven
264,"Libbys Natursüß Ananas in Scheiben, 10 Stück","1,29 €","2,22 €",Preis pro 1 Liter,(Dose 580 ML),edeka,Konserven
265,Meine Hanse Rostocker Makrelenschmaus,"2,59 €","1,30 €",Preis pro 100 Gramm,(Dose 200 Gramm),edeka,Konserven
266,"John West Thunfischfilets Natur ohne Öl, einzeln gefangen mit Angelrute","1,99 €","1,24 €",Preis pro 100 Gramm,(),edeka,Konserven
267,Saupiquet Makrelen gegrillt mit nativem Olivenöl,"2,79 €","2,33 €",Preis pro 100 Gramm,(Packung 120 Gramm),edeka,Konserven
268,Bertolli Antipasti Pomodori Secci,"2,69 €","0,96 €",Preis pro 100 Gramm,(Glas 280 Gramm),edeka,Konserven
269,Al Amier Kichererbsen gegart Humos tabi,"1,79 €","4,48 €",Preis pro 1 KG,(Dose 400 Gramm),edeka,Konserven
270,Bertolli Antipasti Olive Verdi - ohne Stein,"2,29 €","0,82 €",Preis pro 100 Gramm,(Glas 280 Gramm),edeka,Konserven
271,Lutz Jagdwurst nach norddeutsche Art,"0,69 €","0,55 €",Preis pro 100 Gramm,(Dose 125 Gramm),edeka,Konserven
272,Lutz Frühstücksfleisch,"0,69 €","0,55 €",Preis pro 100 Gramm,(Dose 125 Gramm),edeka,Konserven
273,Lutz Wurstkonserven Delikatess-Leberwurst,"0,69 €","0,55 €",Preis pro 100 Gramm,(Dose 125 Gramm),edeka,Konserven
274,Lutz Wurstkonserven Lyoner,"0,69 €","0,55 €",Preis pro 100 Gramm,(Dose 125 Gramm),edeka,Konserven
275,Lutz Bierwurst,"0,69 €","0,55 €",Preis pro 100 Gramm,(Dose 125 Gramm),edeka,Konserven
276,Specht Münchner Gurken süß-würzig,"0,99 €","1,38 €",Preis pro 1 Liter,(Glas 720 ML),edeka,Konserven
277,Specht Gewürz Gurken knackig mit feiner Dillnote,"0,99 €","1,38 €",Preis pro 1 Liter,(Glas 720 ML),edeka,Konserven
278,Tai Shan Baby Äpfel Baby Apples,"2,49 €","8,30 €",Preis pro 1 KG,(Dose 300 Gramm),edeka,Konserven
279,Meica Wiesn Wirt Haxn Schmaus,"0,98 €","1,23 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
280,Ivanka Delikatessen Kichererbsen,"0,98 €","1,48 €",Preis pro 1 KG,(Glas 660 Gramm),edeka,Konserven
281,Seidel Wirsing,"1,78 €","1,11 €",Preis pro 100 Gramm,(Dose 160 Gramm),edeka,Konserven
282,Rehm Echte Schurwalder Wurstkonserven Bierwurst Norddt. Art,"0,69 €","0,55 €",Preis pro 100 Gramm,(Dose 125 Gramm),edeka,Konserven
283,Dietz Wurstkonserven Hausmacher Art Rotwurst,"1,79 €","0,90 €",Preis pro 100 Gramm,(Dose 200 Gramm),edeka,Konserven
284,La Comtess Gegrillte Thunfisch Filets in Cajun Gewürzsauce,"2,99 €","2,49 €",Preis pro 100 Gramm,(Packung 120 Gramm),edeka,Konserven
285,La Comtess Forellenfilets in Olivenöl,"3,69 €","3,51 €",Preis pro 100 Gramm,(Dose 105 Gramm),edeka,Konserven
286,Rügen Fisch Welsfilet in Tomate-Basilikum-Sauce,"1,79 €","1,43 €",Preis pro 100 Gramm,(Dose 125  Gramm),edeka,Konserven
287,Rügen Fisch Feinschmeckerplatte mit Gemüsebeilage in delikater Sauce,"0,89 €","0,45 €",Preis pro 100 Gramm,(Dose 200 Gramm),edeka,Konserven
288,Appel Makrelenfilets in Tomaten-Creme,"1,79 €","0,90 €",Preis pro 100 Gramm,(Dose 200  Gramm),edeka,Konserven
289,Appel zarte Heringsfilets in Paprika-Creme,"1,19 €","0,60 €",Preis pro 100 Gramm,(Dose 200 Gramm),edeka,Konserven
290,Krini Grüne Oliven mit Stein,"1,79 €","0,57 €",Preis pro 100 Gramm,(Glas 314 Gramm),edeka,Konserven
291,Krini Bio Grüne Oliven mit Knoblauch gefüllt,"2,29 €","1,21 €",Preis pro 100 Gramm,(Glas 190 Gramm),edeka,Konserven
292,Le Clou Kidney Bohnen rot,"2,29 €","2,86 €",Preis pro 1 KG,(Dose 800 Gramm),edeka,Konserven
293,Baktat gefüllte Auberginen mit Reis,"2,29 €","0,65 €",Preis pro 100 Gramm,(Dose 350 Gramm),edeka,Konserven
294,Dittmann Peperoncini extra mild,"1,99 €","3,26 €",Preis pro 1 KG,(Glas 610 Gramm),edeka,Konserven
295,Fischer Cornichons köstlich-pikant,"0,85 €","1,18 €",Preis pro 1 KG,(Glas 720 Gramm),edeka,Konserven
296,Spreewaldhof Senfgurken traditionell gewürzt,"1,49 €","2,07 €",Preis pro 1 Liter,(Glas 720  ML),edeka,Konserven
297,Libbys Natursüß Mandarin-Orangen,"1,29 €","0,41 €",Preis pro 100 ml,(Dose 314 ML),edeka,Konserven
298,"Libbys Ananas in Scheiben, 4 Stück","0,99 €","4,19 €",Preis pro 1 Liter,(Dose 236 ML),edeka,Konserven
299,Mikado Cocktail Champignons ganze Köpfe,"0,84 €","0,29 €",Preis pro 100 Gramm,(Glas 285 Gramm),edeka,Konserven
300,Mikado Maiskölbchen,"0,84 €","0,25 €",Preis pro 100 Gramm,(Glas 330 Gramm),edeka,Konserven
301,Scala Apfelmus,"0,68 €","0,96 €",Preis pro 1 KG,(Glas 710 Gramm),edeka,Konserven
302,Dovgan Schweinefleisch in würzigem Aufguß,"1,99 €","0,50 €",Preis pro 100 Gramm,(Dose 400 Gramm),edeka,Konserven
303,Agrico Polish Ham,"1,99 €","0,66 €",Preis pro 100 Gramm,(Dose 300 Gramm),edeka,Konserven
