,Name,Price,Unit,Packet Size,Supermarket,Category,Comparable Price
1344,K Classic Deutsches Corned Beef,2.59,100 Gramm,Schale 500 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.52
1345,K Favourites Leberwurst mit schwarzen Trüffeln,1.49,100 Gramm,Packung 75 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.99
1346,K Purland Hähnchen Innenbrustfilet,1.69,100 Gramm,Packung 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.69
1347,"Du darfst Gemüse Putenwurst mit feinen Erbsen, 3% Fett",0.99,100 Gramm,Packung 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.99
1348,Meica Würstchen Frankfurter Art,0.99,100 Gramm,Packung 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.99
1349,Meica Wiesn Wirt Münchner Weißwürste 5 Stück,1.49,100 Gramm,Packung 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.49
1350,Feldhues Bio Billy Bär Brühwurstpastete,1.49,100 Gramm,Packung 80 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.86
1351,Gutfried Buffet Geflügel Mortadella mit Paprika,0.99,100 Gramm,Packung 80 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.24
1352,Jojos Geflügel Fleischwurst,0.87,100 Gramm,Packung 175 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.5
1353,"Windau Schinken Pfeffermett frisch und pikant, 2 x 100 g",1.39,100 Gramm,Folie 200 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.7
1354,Windau Classic Streichmettwurst einfach,1.69,100 Gramm,Packung 200 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.85
1355,Wiesenhof Halbe Wiesn Ente,6.99,100 Gramm,Packung 1000 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.6990000000000001
1356,Tillmans Gyros Art aus Schweinefleisch,2.69,100 Gramm,Packung 500 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.538
1357,Tillmans Spare Ribs Hot,5.99,100 Gramm,Packung 600 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.998
1358,"Schlütters Echte! Original Nürnberger Rostbratwurst 28 Stück,  Sonderposten",3.49,100 Gramm,Packung 600 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.58
1359,"Kurfürst Berner Würstel + Berner Sauce gratis 15 g,  8 Stück",1.99,100 Gramm,Packung 250 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.8
1360,Rügenwalder Mühlen Würstchen Geflügel,2.79,100 Gramm,Becher 222 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.2570000000000001
1361,Purland Rinderrouladen,12.99,100 Gramm,Packung 1000 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.299
1362,Zerbster Original Schweinskopfsülze,1.79,100 Gramm,Glas 400  Gramm,kaufland,Fleisch Wurst Aufschnitt,0.44800000000000006
1363,Reinert Bärchen Salami,1.49,100 Gramm,Packung 90 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.66
1364,K Classic Leberwurst fein,0.69,100 Gramm,Packung 125 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.55
1365,"Wiesenhof Bruzzler Piratenfeuer Madagaskar Curry hot, 5 x 80 g",3.29,100 Gramm,Packung 400 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.82
1366,Mischau Curry 36 ohne Darm,4.99,100 Gramm,Packung 595 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.8390000000000001
1367,Mago Schinkenknacker im Saitling,2.99,100 Gramm,Folie 200 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.5
1368,Mago Wiener Würstchen,2.49,100 Gramm,Packung 200 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.2449999999999999
1369,Fair Mast Hähnchen Fleischwurst,1.99,100 Gramm,Packung 200 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.9949999999999999
1370,Campofrio Chorizo Griller BBQ & Grill mild,3.99,100 Gramm,Packung 330 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.21
1371,Ponnath Wiesn Stangerl,1.65,100 Gramm,Beutel 125 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.32
1372,Schulte Geflügel Cabanossi,1.69,100 Gramm,Vakuum 300 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.56
1373,Wiesenhof Bruzzler Döner Style,3.29,100 Gramm,Packung 400 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.82
1374,Poppenburger Wiener Würstchen 30% fettreduziert,2.99,100 Gramm,Glas 540 Gramm,kaufland,Fleisch Wurst Aufschnitt,0.554
1375,Herta Genuss Momente Grillschinken,1.79,100 Gramm,Packung 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.79
1376,Schmiedbauers Beste Ofensteiner,1.69,100 Gramm,Packung 100 Gramm,kaufland,Fleisch Wurst Aufschnitt,1.69
