,Name,Price,Price per,Unit,Packet Size,Supermarket
3976,Friedrichs Graved Sauce Skandinavisch,"2,59 €","1,30 €",Preis pro 100 Gramm,(Packung 200 Gramm),edeka
3977,Homann Meeres Buffet Pacific Garnelen,"1,49 €","1,66 €",Preis pro 100 ml,(Glas 90 ML),edeka
3978,Leibnitz Choco Edelherb,"2,99 €","2,39 €",Preis pro 100 Gramm,(Schale 125 Gramm),edeka
3979,Bahlsen Gebäckmischung Selection,"1,39 €","1,11 €",Preis pro 100 Gramm,(Packung 125  Gramm),edeka
3980,Chio Tortillas Chips Wild Paprika,"5,49 €","10,98 €",Preis pro 1 KG,(Packung 500  Gramm),edeka
3981,3 Glocken Die mag ich Sputniks,"1,59 €","1,27 €",Preis pro 100 Gramm,(Beutel 125  Gramm),edeka
3982,Kohlrabi Deutschland,"0,98 €","1,96 €",Preis pro 1 KG,(Packung 500 Gramm),edeka
3983,Bahlsen Noch Eine Premium Eiswaffel,"0,59 €","0,59 €",Preis pro Stück,( 1 Stück),edeka
3984,Miracel Whip Sauce Tomate Kräuter,"1,29 €","1,72 €",Preis pro 100 Gramm,(Packung 75 Gramm),edeka
3985,Miracel Whip Sauce Röstzwiebeln,"1,49 €","0,63 €",Preis pro 100 ml,(Flasche (Glas) 235 ML),edeka
3986,Bio Organic Hand cooked Chips Sweet Chili,"4,68 €","11,70 €",Preis pro 1 KG,(Packung 400 Gramm),edeka
3987,TopMare Forellen-Filets Pfeffer,"3,39 €","7,06 €",Preis pro 1 KG,(Packung 480 Gramm),edeka
3988,TopMare Forellen-Filets Knoblauch,"1,68 €","1,34 €",Preis pro 100 Gramm,(Packung 125 Gramm),edeka
3989,Jerome Körnige Bio Gemüsebouillon,"1,99 €","7,96 €",Preis pro 100 Gramm,(Packung 25 Gramm),edeka
3990,Jack Links Beef Jerky Sweet & Hot,"1,99 €","7,96 €",Preis pro 100 Gramm,(Packung 25 Gramm),edeka
3991,Coppenrath Spekulatius Mandel,"1,19 €","0,40 €",Preis pro 100 Gramm,(Packung 300 Gramm),edeka
3992,Bahlsen Stollen Mohnstollen,"3,19 €","6,38 €",Preis pro 1 KG,(Packung 500 Gramm),edeka
3993,Funny Frisch Knusper Brezeln Mediterrane Kräuter,"1,49 €","1,86 €",Preis pro 100 Gramm,(Beutel 80 Gramm),edeka
3994,Iglo Gold Nuggets Western Style süß würzige Rauchnote,"2,49 €","10,83 €",Preis pro 1 KG,"(Packung 230 Gramm, 11 Stück)",edeka
3995,Probios Rice & Rice Drink Natural,"2,79 €","2,79 €",Preis pro 1 Liter,(Getränkekarton 1 Liter),edeka
3996,Probios Soia & Soia Drink Natural,"2,49 €","2,49 €",Preis pro 1 Liter,(Getränkekarton 1 L),edeka
3997,Dr. Oetker Paula Schoko Pudding mit Vanillegeschmack Flecken,"1,59 €","3,18 €",Preis pro 1 KG,(Packung 500 Gramm),edeka
3998,Dr. Oetker Finesse Natürliches Orangenschalen Aroma 2-er,"0,59 €","9,83 €",Preis pro 100 Gramm,(Packung 6 Gramm),edeka
3999,Dr. Oetker Garant Creme Pudding Vanille Geschmack,"0,99 €","1,48 €",Preis pro 100 Gramm,(Beutel 67 Gramm),edeka
4000,Dr. Oetker Garant Schokolade Creme Pudding,"0,99 €","0,99 €",Preis pro 100 Gramm,(Beutel 100 Gramm),edeka
4001,Dr. Oetker Tiramisu Creme Dessertspezialitäten,"0,89 €","1,35 €",Preis pro 100 Gramm,(Packung 66  Gramm),edeka
4002,Dr. Oetker Stracciatella Creme Dessertspezialitäten,"1,49 €","1,64 €",Preis pro 100 Gramm,(Packung 91 Gramm),edeka
4003,Dr. Oetker Galetta 1 Minuten Cremepudding Schokolade,"1,49 €","1,54 €",Preis pro 100 Gramm,(Packung 97 Gramm),edeka
4004,Dr. Oetker Brandteig Garant,"0,99 €","1,00 €",Preis pro 100 Gramm,(Packung 99 Gramm),edeka
4005,Dr. Oetker Aranca Zitronen Geschmack fruchtige Schaumcreme,"1,09 €","1,68 €",Preis pro 100 Gramm,(Beutel 65 Gramm),edeka
