,Name,Price,Price per,Unit,Packet Size,Supermarket
2878,Back Family Bunte Zuckerstreusel,"0,59 €","0,03 €",Preis pro Stück,(Packung 20 Stück),aldi-sued
2879,Gartenkrone Gurkentopf süß-sauer,"4,99 €","4,99 €",Preis pro 1 KG,(Beutel 1000 Gramm),aldi-sued
2880,Prince After Shave Classic,"0,85 €","0,80 €",Preis pro 1 KG,(Glas 1062 Gramm),aldi-sued
2881,Prince After Shave sensitive,"2,85 €","2,85 €",Preis pro 100 ml,(Flasche (Glas) 100 ML),aldi-sued
2882,Meine Metzgerei / Aldi Süd Kaiserjagdwurst,"2,85 €","2,85 €",Preis pro 100 ml,(Flasche (Glas) 100 ML),aldi-sued
2883,Meine Metzgerei / Aldi Süd Bierschinken,"0,99 €","0,99 €",Preis pro 100 Gramm,(Packung 100 Gramm),aldi-sued
2884,Meine Metzgerei / Aldi Süd Fleischkäse fein,"0,99 €","0,99 €",Preis pro 100 Gramm,(Packung 100 Gramm),aldi-sued
2885,Meine Metzgerei / Aldi Süd Lyoner,"0,99 €","0,99 €",Preis pro 100 Gramm,(Packung 100 Gramm),aldi-sued
2886,"Roi de Trefle Edler französischer Weichkäse cremig leicht, 12% Fett","0,99 €","0,79 €",Preis pro 100 Gramm,(Packung 125 Gramm),aldi-sued
2887,"Karlskrone Malztrunk 6-er 6 x 0,5 L","1,09 €","0,55 €",Preis pro 100 Gramm,(Packung 200 Gramm),aldi-sued
2888,"Devinos Snackwürfel Hirten-Kräuter ohne Öl Hirten-Kräuter, 2 Portionen a 80 g","1,59 €","0,53 €",Preis pro 1 Liter,(Pack 3 L),aldi-sued
2889,Desira Flecki Pudding Vanillegeschmack mit Flecken,"1,59 €","0,99 €",Preis pro 100 Gramm,(Packung 160 Gramm),aldi-sued
2890,Aldi Süd bio Hagebutten Tee mit Hibiskus 20 Beutel,"0,59 €","0,24 €",Preis pro 100 Gramm,(Packung 250 Gramm),aldi-sued
2891,Aldi Süd bio Gemüsesaft,"1,19 €","2,16 €",Preis pro 100 Gramm,(Packung 55 Gramm),aldi-sued
2892,Müller Fleisch Rinder Hüftsteaks zum Braten oder für den Grill,"1,19 €","1,19 €",Preis pro 1 Liter,(Getränkekarton 1 L),aldi-sued
2893,"Aldi Süd Cevapcici aus Rindfleisch, küchenfertig, ca. 40 Stück","5,79 €","1,54 €",Preis pro 100 Gramm,(Packung 375 Gramm),aldi-sued
2894,Friscodent Medizinische Mundspülung Sensitive,"0,89 €","0,59 €",Preis pro 100 Gramm,(Beutel 150 Gramm ),aldi-sued
2895,Friscodent Zahncreme Coolfresh,"1,15 €","2,30 €",Preis pro 1 Liter,(Flasche (Kunststoff) 500 ML),aldi-sued
2896,Friscodent Zahncreme Spearmint,"0,49 €","0,39 €",Preis pro 100 ml,(Tube 125 ML),aldi-sued
2897,KÜR Haircare Pflegespülung Normales Haar,"0,49 €","0,39 €",Preis pro 100 ml,(Tube 125 ML),aldi-sued
2898,Lacura Face Gesichtswasser für normale und Mischhaut,"0,69 €","0,23 €",Preis pro 100 ml,(Flasche (Kunststoff) 300 ML),aldi-sued
2899,Lacura Face Gesichtswasser sensitiv,"1,45 €","0,58 €",Preis pro 100 ml,(Flasche (Kunststoff) 250 ML),aldi-sued
2900,Desira Creme Joghurt Zitrone,"1,45 €","0,58 €",Preis pro 100 ml,(Flasche (Kunststoff) 250 ML),aldi-sued
2901,Le Gusto Zimt gemahlen,"1,59 €","0,16 €",Preis pro 100 Gramm,(Becher 1000 Gramm),aldi-sued
2902,Back Family Schokoladen Streusel dunkel,"0,69 €","1,73 €",Preis pro 100 Gramm,(Glas 40 Gramm),aldi-sued
2903,Topstar Flying Power Energy Drink Sugarfree,"1,29 €","0,32 €",Preis pro 100 Gramm,(Packung 400 Gramm),aldi-sued
2904,"Alpenmark Bayerischer Weichkäse Mild & Cremig, am Stück","1,99 €","1,01 €",Preis pro 1 Liter,(Pack 1.98 L),aldi-sued
