,Name,Price,Price per,Unit,Packet Size,Supermarket
2963,Weight Watchers Frühlingsgemüsesuppe mit Geflügelfleischklößchen,"5,99 €","3,00 €",Preis pro 100 Gramm,(Glas 200 Gramm),lidl
2964,Nescafe Senzazione Crema,"0,69 €","0,35 €",Preis pro 1 KG,(Netz 2 kg),lidl
2965,Dr. Oetker Steinofen Tradizionale Speciale Pizza,"1,49 €","0,32 €",Preis pro 100 ml,"(Packung, 2 x Becher 230 ML)",lidl
2966,"Knorr Sauce Pur Feine Sauce,  4 x 0,25 L","2,22 €","0,64 €",Preis pro 100 Gramm,(Karton 345 Gramm),lidl
2967,"Knorr Sauce Pur Bratensauce, 4 x 28 g, Portionen:  4","1,39 €","1,39 €",Preis pro 100 ml,(Packung 100 ML),lidl
2968,Milka Choco Cookies,"1,39 €","1,24 €",Preis pro 100 Gramm,(Packung 112 Gramm),lidl
2969,Grünländer Käsewürfel mild & nussig,"1,59 €","0,95 €",Preis pro 100 Gramm,(Packung 168 Gramm),lidl
2970,"Grünländer Käsewürfel Chili & Paprika, 2 x 75 g","1,79 €","1,19 €",Preis pro 100 Gramm,"(Packung 150 Gramm, 2 x 75g)",lidl
2971,Schwartau Extra Fruttissima Limited Edition Rote Früchte,"1,79 €","1,19 €",Preis pro 100 Gramm,(Packung 150 Gramm),lidl
2972,Dreistern Schweinskopf Sülze,"1,49 €","0,60 €",Preis pro 100 Gramm,(Becher 250 Gramm),lidl
2973,Naumburger Schinkenspeck,"1,99 €","4,98 €",Preis pro 1 KG,(Packung 400 Gramm),lidl
2974,Landmanns Hefeklösse 6 Stück,"8,91 €","0,70 €",Preis pro 100 Gramm,(Packung 1275 Gramm),lidl
2975,Eridanous Lidl Erdnusshäppchen,"1,95 €","3,90 €",Preis pro 100 Gramm,(Riegel 50 Gramm),lidl
2976,Halloren Nougatissimo,"1,95 €","3,90 €",Preis pro 100 Gramm,(Riegel 50 Gramm),lidl
2977,"Landliebe Müsli Rote Beeren 3,8% Fett im Milchanteil","1,99 €","4,98 €",Preis pro 1 KG,(Beutel 400 Gramm),lidl
2978,Krüger Family Country Cup Typ Schoko Brownie,"1,99 €","4,98 €",Preis pro 1 KG,(Beutel 400 Gramm),lidl
2979,Schwartau Rodelkönig Konfitüre Pflaume Apfel Zimt,"1,49 €","0,44 €",Preis pro 100 Gramm,(Glas 340 Gramm),lidl
2980,Burgis Festtagsknödel,"1,19 €","2,38 €",Preis pro 1 KG,(Packung 500 Gramm),lidl
2981,Speisezwiebeln,"1,19 €","1,19 €",Preis pro 1 KG,(Beutel 1.0 KG),lidl
2982,Ilmenauer Bauernknackwurst im Ring mit Kümmel,"1,99 €","0,88 €",Preis pro 100 Gramm,(Folie 225 Gramm),lidl
2983,Ehrmann Almighurt nach Herzenslust Herz Kirsche & Schoko Wellen,"0,66 €","0,44 €",Preis pro 100 Gramm,(Becher 150 Gramm),lidl
2984,Eberswalder Wurst Rauchsalami geschnitten,"1,19 €","1,19 €",Preis pro 100 Gramm,(Packung 100 Gramm),lidl
