,Name,Price,Price per,Unit,Packet Size,Supermarket
109,Alberto Lasagne Bolognese,"1,99 €","4,98 €",Preis pro 1 KG,(Kunststoffschale 400 Gramm),kaufland
110,Hela Curry Gewürz Ketchup delikat,"2,39 €","2,99 €",Preis pro 1 Liter,(Flasche (Kunststoff) 800 ML),kaufland
111,Miracoli Spaghetti Klassiker mit Tomatensauce,"1,79 €","0,45 €",Preis pro 100 Gramm,"(Packung 397 Gramm, 2 - 3 Portionen)",kaufland
112,Iglo Rahmspinat der mit dem Blubb,"1,89 €","2,36 €",Preis pro 1 KG,(Packung 800 Gramm),kaufland
113,Coca Cola Zero,"0,49 €","1,48 €",Preis pro 1 Liter,(Dose 330 ML),kaufland
114,Don Simon Sangria,"2,19 €","1,46 €",Preis pro 1 Liter,(Pet-Flasche 1.5 L),kaufland
115,Oettinger Original Export,"6,40 €","0,64 €",Preis pro 1 Liter,(Kasten 10 L),kaufland
116,Purland Hackfleisch Schwein und Rind gemischt,"2,49 €","4,98 €",Preis pro 1 KG,(Packung 500 Gramm),kaufland
117,"Danone Fruchtzwerge Erdbeere, Kirsche, Himbeere, 6 x 50 g","1,59 €","0,53 €",Preis pro 100 Gramm,(Packung 300 Gramm),kaufland
118,K Classic Junge Brechbohnen fein,"0,69 €","0,86 €",Preis pro 1 KG,(Dose 800 Gramm),kaufland
119,"Frische Brise Marius Mineralquelle medium, 12 x 0,7 L","1,80 €","0,21 €",Preis pro 1 Liter,(Kasten 8.4 L),kaufland
120,"Salakis Schafskäse Natur, 50 % Fett","2,29 €","1,15 €",Preis pro 100 Gramm,(Packung 200 Gramm),kaufland
121,Appel Heringsfilet in Pfeffer-Creme,"1,49 €","0,75 €",Preis pro 100 Gramm,(Dose 200 Gramm),kaufland
122,K Classic Californische Pistazien geröstet und gesalzen,"3,19 €","1,28 €",Preis pro 100 Gramm,(Beutel 250 Gramm),kaufland
123,K Classic Choco Bobbles mit Kakao,"1,99 €","2,65 €",Preis pro 1 KG,(Packung 750 Gramm),kaufland
124,Ehrmann Grand Dessert Schoko,"0,79 €","0,40 €",Preis pro 100 Gramm,(Becher 200 Gramm),kaufland
125,Nestle Nesquick Nachfüllbeutel,"1,99 €","4,52 €",Preis pro 1 KG,(Nachfüllbeutel 440 Gramm),kaufland
126,"K Classic H-Schlagsahne ultrahocherhitzt, 30 % Fett","0,69 €","0,35 €",Preis pro 100 Gramm,(Packung 200 Gramm),kaufland
127,K Classic Weichweizen Grieß,"0,39 €","0,78 €",Preis pro 1 KG,(Packung 500 Gramm),kaufland
128,Schwartau Extra Erdbeere,"2,19 €","0,64 €",Preis pro 100 Gramm,(Glas 340 Gramm),kaufland
129,Storck Super Dickmanns,"1,89 €","0,76 €",Preis pro 100 Gramm,(Packung 250 Gramm),kaufland
130,"Wagner Original Piccolinis Salami,","2,69 €","1,00 €",Preis pro 100 Gramm,"(Packung 270 Gramm, 9 x 30g)",kaufland
131,Bananen ca. 6 Stück,"0,99 €","0,99 €",Preis pro 1 KG,( 1 KG),kaufland
132,K Classic Königsberger Klopse in Kapernsauce,"1,49 €","3,31 €",Preis pro 1 KG,(Packung 450 Gramm),kaufland
133,K Classic Lasagne Bolognese,"2,99 €","2,99 €",Preis pro 1 KG,(Schale 1000 Gramm),kaufland
134,Appel Heringsfilets in Tomaten-Creme,"1,49 €","0,75 €",Preis pro 100 Gramm,(Dose 200 Gramm),kaufland
135,Trumpf Schogetten Alpenvollmilch,"0,99 €","0,99 €",Preis pro 100 Gramm,(Tafel 100 Gramm),kaufland
136,Brokkoli frisch,"1,19 €","2,38 €",Preis pro 1 KG,(Folie 500 Gramm),kaufland
137,Wagner Die Backfrische Pizza Salami mit 3 Käse & Kräutern,"2,89 €","0,90 €",Preis pro 100 Gramm,(Packung 320 Gramm),kaufland
138,"K Classic Kaffeesahne Kännchen, 12% Fett","0,39 €","0,20 €",Preis pro 100 Gramm,(Dose 200 Gramm),kaufland
139,Wagner Die Backfrische Pizza Speciale,"2,89 €","0,80 €",Preis pro 100 Gramm,(Packung 360 Gramm),kaufland
140,K Classic Gourmet Rohschinken,"1,88 €","1,25 €",Preis pro 100 Gramm,(Packung 150 Gramm),kaufland
141,K Bio Sauerrahm Butter,"2,19 €","0,88 €",Preis pro 100 Gramm,(Packung 250 Gramm),kaufland
142,"Exquisa Quark Genuss Vanilla,0.2% Fett","1,79 €","3,58 €",Preis pro 1 KG,(Becher 500 Gramm),kaufland
143,K Classic Bratkartoffeln mit Speck und Zwiebeln,"1,19 €","2,38 €",Preis pro 1 KG,(Packung 500 Gramm),kaufland
144,K Purland Rinderzunge,"9,44 €","5,79 €",Preis pro 1 KG,(Packung 1631 Gramm),kaufland
145,Arla Kaergarden gesalzen,"2,19 €","0,88 €",Preis pro 100 Gramm,(Becher 250  Gramm),kaufland
146,Rügenwalder Mühlen Schinken Zarter Kochschinken,"1,99 €","1,99 €",Preis pro 100 Gramm,(Packung 100 Gramm),kaufland
147,Rügen Fisch Heringsfilets in Tomaten-Creme,"0,99 €","0,50 €",Preis pro 100 Gramm,(Dose 200 Gramm),kaufland
148,Hengstenberg Feiner Walnuss Essig 6 % Säure,"2,79 €","5,58 €",Preis pro 1 Liter,(Flasche (Glas) 0.5 L),kaufland
149,Lavazza  Crema e Aroma,"12,99 €","11,81 €",Preis pro 1 KG,"(Packung 1100 Gramm, 10% mehr Inhalt)",kaufland
150,Hardegger Käse Fondue L Original ohne Alkohol,"2,79 €","6,98 €",Preis pro 1 KG,(Packung 400 Gramm),kaufland
151,K Classic Hartweizen Grieß,"0,49 €","0,98 €",Preis pro 1 KG,(Packung 500 Gramm),kaufland
152,Storck Knoppers Milch-Haselnuss-Schnitte,"1,99 €","1,00 €",Preis pro 100 Gramm,"(Packung 200 Gramm, 8 x 25 g)",kaufland
153,Ferrero Kinder Überraschung Ei,"0,79 €","3,95 €",Preis pro 100 Gramm,(Folie 20 Gramm),kaufland
154,Händlmaiers Hausmachersenf Süßer,"1,49 €","0,44 €",Preis pro 100 ml,(Glas 335 ML),kaufland
155,Rispentomaten frisch,"2,99 €","2,99 €",Preis pro 1 KG,(Packung 1 KG),kaufland
156,K Classic Leberwurst grob,"1,29 €","0,52 €",Preis pro 100 Gramm,(Packung 250 Gramm),kaufland
157,"K Purland Gourmet Rinderfilet am Stück, vom Jungbullen","29,49 €","29,49 €",Preis pro 1 KG,(Packung 1000 Gramm),kaufland
158,K Bio Agaven Dicksaft Natursüße,"1,79 €","0,72 €",Preis pro 100 ml,(Flasche (Kunststoff) 250 ML),kaufland
159,Bärenmarke Die Ergiebige 10 10% Fett,"0,95 €","0,28 €",Preis pro 100 Gramm,(Dose 340 Gramm),kaufland
160,"Exquisa Fitline Kräuter,  0,2% Fett","1,39 €","0,70 €",Preis pro 100 Gramm,(Packung 200 Gramm),kaufland
161,Golden Toast Butter Toast,"1,19 €","2,38 €",Preis pro 1 KG,(Packung 500  Gramm),kaufland
162,Brunch Cremiger Brotaufstrich Natur,"1,69 €","0,85 €",Preis pro 100 Gramm,(Becher 200 Gramm),kaufland
163,Brändle vita Rapsöl mit omega 3 Fettsäuren,"2,59 €","3,45 €",Preis pro 1 Liter,(Flasche (Glas) 0.75 L),kaufland
164,K Classic Pesto alla Calabrese,"1,19 €","0,63 €",Preis pro 100 Gramm,(Glas 190 Gramm),kaufland
165,Iglo Schlemmer-Filet Broccoli,"2,79 €","7,34 €",Preis pro 1 KG,(Packung 380 Gramm),kaufland
166,K Classic Knusper Früchte Müsli mit 27% Früchten,"2,24 €","2,99 €",Preis pro 1 KG,(Packung 750 Gramm),kaufland
167,K Classic Cafe Allegro Typ Espresso,"0,49 €","0,21 €",Preis pro 100 ml,(Becher 230 ML),kaufland
168,Purland Schweinebraten wie gewachsen,"3,99 €","3,99 €",Preis pro 1 KG,(Vakuum 1 KG),kaufland
169,Tillmans XXL Schnitzel vom Schwein nach Wiener Art,"3,49 €","6,98 €",Preis pro 1 KG,(Packung 500 Gramm),kaufland
